RespondentID,Gender,What is your ethnicity?,What is your age group?,How far is your school and/or work from where you live?,How often do you commute to school and/or work by car/your own motorized vehicle,How often do you commute to school and/or work by public transit,How often do you commute to school and/or work by bike,How often do you commute to school and/or work by walking,"When you are NOT commuting to school and/or work, how often do you bike?","If you have children under the age of 18, do you allow them to bike and/or walk to school?",Do you know of any children that have been hit by a car while biking and/or walking in your city?,Have you or any adult you know been hit by a car while biking and/or walking in your city?,"When you bike/walk, is it to commute?","When you bike/walk, is it to be environmentally friendly?","When you bike/walk, is it for recreation?","When you bike/walk, is it for exercise?"
5310127149,Female,Other (please specify),46-55,11-20 miles,3-4 times per week,1-2 times per week,1-2 times per week,1-2 times per month,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5306945615,Male,White,26-35,6-10 miles,1-2 times per week,,1-2 times per week,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5306788135,Male,White,46-55,Over 20 miles,3-4 times per week,1-2 times per month,1-2 times per month,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5297460095,Female,Asian,18-25,11-20 miles,,5+ times per week,,5+ times per week,3-4 days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5254085173,,,,,,,,,,,No,"Yes, biking",,,,
5036872160,Male,Asian,36-45,,,,,,1-2 times per month,No,No,No,,,Recreation,
5036869432,Male,Hispanic or Latino,36-45,Over 20 miles,5+ times per week,,,,3-4 days per week,No,No,"Yes, walking",,,Recreation,Exercise (not on a stationary bike)
5036865736,Male,White,Over 56,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5036861051,Female,Black or African American,46-55,Under 2 miles,1-2 times per week,Never,1-2 times per month,3-4 times per week,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,,Recreation,Exercise (not on a stationary bike)
5036852175,Female,,46-55,,,,,,1-2 days per week,,Yes,No,,,Recreation,Exercise (not on a stationary bike)
5036847223,Male,White,Over 56,6-10 miles,3-4 times per week,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,
5036837225,Male,Asian,13-17,Under 2 miles,1-2 times per month,Never,Never,5+ times per week,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
